1999,,,,,,,,,,,,,,,,
 , 35-39,33762,17348,16414,7278,4477,2801,22702,11088,11614,3515,1746,1769,267,37,230
 , 40-44,36206,19063,17143,4747,2850,1897,26598,13804,12794,4342,2334,2008,519,75,444
 , 45-49,37365,19398,17967,3255,1968,1287,28604,14977,13627,4440,2312,2128,1066,141,925
 , 50-54,33572,17102,16470,2096,1249,847,26101,13671,12430,3716,1949,1767,1659,233,1426
 , 55-59,28399,14215,14184,1305,738,567,22445,11863,10582,2377,1340,1037,2272,274,1998
 , 60-64,17369,8597,8772,632,340,292,13513,7306,6207,1040,633,407,2184,318,1866
 , 65-69,18206,8859,9347,432,281,151,13627,7585,6042,661,440,221,3486,553,2933
 , 70-74,16231,7822,8409,382,284,98,11079,6448,4631,377,237,140,4393,853,3540
 , 75-79,12511,6026,6485,288,218,70,7232,4592,2640,239,141,98,4752,1075,3677
 , 80-84,8003,3973,4030,243,194,49,3649,2663,986,157,101,56,3954,1015,2939
 , 85-89,3698,1636,2062,138,100,38,1158,877,281,67,42,25,2335,617,1718
 , 90-94,1118,415,703,46,37,9,213,165,48,19,13,6,840,200,640
 , 95-99,244,105,139,22,19,3,39,35,4,0,0,0,183,51,132
 ,100,39,19,20,8,7,1,5,4,1,0,0,0,26,8,18
2010,,,,,,,,,,,,,,,,
 , 總計,460486,234682,225804,201442,109766,91676,204399,105856,98543,26173,13564,12609,28472,5496,22976
 , 未滿15,70271,36733,33538,70271,36733,33538,0,0,0,0,0,0,0,0,0
 , 15-19,33795,17481,16314,33648,17452,16196,136,27,109,10,2,8,1,0,1
 , 20-24,32938,17200,15738,31369,16783,14586,1373,363,1010,194,54,140,2,0,2
 , 25-29,37110,18802,18308,27962,15583,12379,8023,2854,5169,1086,361,725,39,4,35
 , 30-34,36503,18723,17780,16196,9823,6373,17541,7692,9849,2666,1192,1474,100,16,84
 , 35-39,32945,16773,16172,7621,4684,2937,21525,10313,11212,3549,1736,1813,250,40,210
 , 40-44,36112,18925,17187,4995,3039,1956,26112,13403,12709,4497,2408,2089,508,75,433
 , 45-49,37095,19269,17826,3436,2023,1413,28051,14697,13354,4605,2419,2186,1003,130,873
 , 50-54,34275,17447,16828,2247,1330,917,26426,13795,12631,3991,2103,1888,1611,219,1392
 , 55-59,29882,14956,14926,1422,809,613,23385,12330,11055,2743,1523,1220,2332,294,2038
 , 60-64,19246,9603,9643,728,397,331,14920,8129,6791,1229,739,490,2369,338,2031
 , 65-69,16874,8194,8680,420,265,155,12581,6962,5619,692,462,230,3181,505,2676
 , 70-74,16792,8033,8759,391,270,121,11539,6679,4860,411,263,148,4451,821,3630
 , 75-79,12662,5965,6697,275,209,66,7318,4567,2751,230,129,101,4839,1060,3779
 , 80-84,8503,4215,4288,244,191,53,3948,2869,1079,180,119,61,4131,1036,3095
 , 85-89,3882,1708,2174,135,103,32,1206,928,278,67,36,31,2474,641,1833
 , 90-94,1296,534,762,54,46,8,270,213,57,22,17,5,950,258,692
 , 95-99,260,102,158,20,18,2,39,31,8,1,1,0,200,52,148
 ,100,45,19,26,8,8,0,6,4,2,0,0,0,31,7,24
2011,,,,,,,,,,,,,,,,
 , 總計,459061,233661,225400,198835,108379,90456,204050,105611,98439,27289,14154,13135,28887,5517,23370
 , 未滿15,66899,34855,32044,66899,34855,32044,0,0,0,0,0,0,0,0,0
 , 15-19,33803,17580,16223,33675,17554,16121,120,25,95,8,1,7,0,0,0
 , 20-24,33367,17404,15963,31816,16978,14838,1366,377,989,184,49,135,1,0,1
 , 25-29,34923,17856,17067,26325,14779,11546,7550,2725,4825,1019,349,670,29,3,26
 , 30-34,36233,18526,17707,16702,10056,6646,16910,7354,9556,2516,1101,1415,105,15,90
 , 35-39,33209,16859,16350,8204,5022,3182,21067,10011,11056,3695,1795,1900,243,31,212
 , 40-44,35445,18439,17006,5239,3177,2062,25225,12821,12404,4480,2358,2122,501,83,418
 , 45-49,36990,19224,17766,3640,2124,1516,27552,14385,13167,4845,2590,2255,953,125,828
 , 50-54,34919,17783,17136,2398,1436,962,26741,13931,12810,4193,2195,1998,1587,221,1366
 , 55-59,30738,15456,15282,1557,883,674,23829,12599,11230,3058,1681,1377,2294,293,2001
 , 60-64,21869,10869,11000,835,441,394,16809,9138,7671,1566,927,639,2659,363,2296
 , 65-69,15985,7811,8174,451,281,170,11927,6611,5316,717,477,240,2890,442,2448
 , 70-74,17020,8153,8867,376,249,127,11686,6753,4933,469,307,162,4489,844,3645
 , 75-79,12823,5981,6842,268,198,70,7419,4607,2812,249,143,106,4887,1033,3854
 , 80-84,8850,4276,4574,230,174,56,4127,2928,1199,185,119,66,4308,1055,3253
 , 85-89,4274,1900,2374,146,114,32,1373,1072,301,76,41,35,2679,673,2006
 , 90-94,1402,570,832,47,34,13,307,239,68,26,18,8,1022,279,743
 , 95-99,269,101,168,19,17,2,37,32,5,3,3,0,210,49,161
 ,100,43,18,25,8,7,1,5,3,2,0,0,0,30,8,22
2012,,,,,,,,,,,,,,,,
 , 總計,458595,233276,225319,197577,107671,89906,203645,105439,98206,28246,14628,13618,29127,5538,23589
 , 未滿15,63965,33314,30651,63965,33314,30651,0,0,0,0,0,0,0,0,0
 , 15-19,33806,17557,16249,33686,17534,16152,109,21,88,11,2,9,0,0,0
 , 20-24,33710,17653,16057,32116,17186,14930,1402,411,991,191,56,135,1,0,1
 , 25-29,33228,17063,16165,25477,14237,11240,6849,2536,4313,884,287,597,18,3,15
 , 30-34,36468,18638,17830,17460,10480,6980,16512,7143,9369,2388,999,1389,108,16,92
 , 35-39,33424,17010,16414,8848,5392,3456,20620,9756,10864,3727,1831,1896,229,31,198
 , 40-44,34950,18007,16943,5423,3251,2172,24466,12322,12144,4594,2370,2224,467,64,403
 , 45-49,36491,19017,17474,3851,2260,1591,26877,13995,12882,4871,2635,2236,892,127,765
 , 50-54,35979,18316,17663,2596,1535,1061,27250,14178,13072,4561,2374,2187,1572,229,1343
 , 55-59,31465,15876,15589,1655,927,728,24237,12825,11412,3295,1798,1497,2278,326,1952
 , 60-64,23972,11947,12025,977,526,451,18309,9978,8331,1856,1074,782,2830,369,2461
 , 65-69,15362,7514,7848,452,260,192,11437,6326,5111,781,521,260,2692,407,2285
 , 70-74,17117,8164,8953,363,243,120,11732,6774,4958,507,334,173,4515,813,3702
 , 75-79,13219,6172,7047,274,198,76,7800,4802,2998,276,156,120,4869,1016,3853
 , 80-84,9078,4240,4838,216,158,58,4152,2883,1269,187,116,71,4523,1083,3440
 , 85-89,4488,2048,2440,140,110,30,1515,1195,320,83,50,33,2750,693,2057
 , 90-94,1518,598,920,47,30,17,320,249,71,29,20,9,1122,299,823
 , 95-99,308,119,189,21,21,0,50,39,11,5,5,0,232,54,178
 ,100,47,23,24,10,9,1,8,6,2,0,0,0,29,8,21
2013,,,,,,,,,,,,,,,,
 , 總計,458456,233000,225456,196176,106908,89268,203644,105460,98184,29189,15073,14116,29447,5559,23888
 , 未滿15,62116,32434,29682,62115,32433,29682,1,1,0,0,0,0,0,0,0
 , 15-19,32317,16809,15508,32196,16787,15409,113,21,92,8,1,7,0,0,0
 , 20-24,33749,17565,16184,32195,17083,15112,1379,428,951,174,54,120,1,0,1
 , 25-29,32579,16872,15707,25399,14207,11192,6401,2404,3997,765,258,507,14,3,11
 , 30-34,36231,18521,17710,17758,10582,7176,16087,7018,9069,2282,907,1375,104,14,90
 , 35-39,33771,17088,16683,9526,5795,3731,20292,9447,10845,3755,1821,1934,198,25,173
 , 40-44,34371,17649,16722,5717,3405,2312,23604,11852,11752,4583,2332,2251,467,60,407
 , 45-49,36244,18832,17412,4066,2373,1693,26303,13625,12678,5027,2717,2310,848,117,731
 , 50-54,36763,18828,17935,2829,1677,1152,27633,14386,13247,4787,2538,2249,1514,227,1287
 , 55-59,32203,16269,15934,1760,994,766,24586,13016,11570,3603,1935,1668,2254,324,1930
 , 60-64,26038,12947,13091,1087,585,502,19840,10756,9084,2174,1217,957,2937,389,2548
 , 65-69,15367,7517,7850,473,251,222,11368,6308,5060,866,553,313,2660,405,2255
 , 70-74,17043,8116,8927,363,235,128,11622,6722,4900,565,383,182,4493,776,3717
 , 75-79,13502,6236,7266,289,204,85,8045,4897,3148,293,174,119,4875,961,3914
 , 80-84,9329,4316,5013,199,147,52,4291,2943,1348,184,105,79,4655,1121,3534
 , 85-89,4848,2242,2606,132,99,33,1676,1323,353,94,58,36,2946,762,2184
 , 90-94,1606,621,985,53,33,20,340,265,75,25,17,8,1188,306,882
 , 95-99,328,116,212,12,12,0,54,41,13,4,3,1,258,60,198
 ,100,51,22,29,7,6,1,9,7,2,0,0,0,35,9,26
2014,,,,,,,,,,,,,,,,
 , 總計,458777,232814,225963,195264,106348,88916,203588,105435,98153,30163,15502,14661,29762,5529,24233
 , 未滿15,60479,31514,28965,60479,31514,28965,0,0,0,0,0,0,0,0,0
 , 15-19,31178,16324,14854,31065,16302,14763,98,18,80,15,4,11,0,0,0
